total_tip,=0.0,0.0~0.5,0.5~1.0,1.0~1.5,1.5~2.0,10.0~10.5,10.5~11.0,11.0~11.5,11.5~12.0,12.0~12.5,12.5~13.0,13.0~13.5,13.5~14.0,14.0~14.5,14.5~15.0,15.0~15.5,15.5~16.0,16.0~16.5,16.5~17.0,17.0~17.5,17.5~18.0,18.0~18.5,18.5~19.0,19.0~19.5,19.5~20.0,2.0~2.5,2.5~3.0,20.0~20.5,20.5~21.0,21.0~21.5,21.5~22.0,22.0~22.5,22.5~23.0,23.0~23.5,23.5~24.0,24.0~24.5,24.5~25.0,25.0~25.5,25.5~26.0,26.0~26.5,26.5~27.0,27.0~27.5,27.5~28.0,28.0~28.5,28.5~29.0,29.0~29.5,3.0~3.5,3.5~4.0,4.0~4.5,4.5~5.0,5.0~5.5,5.5~6.0,6.0~6.5,6.5~7.0,7.0~7.5,7.5~8.0,8.0~8.5,8.5~9.0,9.0~9.5,9.5~10.0,>29.5
0~5,1635413,33542,102403,14180,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15~20,3541955,24397,510319,368219,1105077,347,710,289,549,94,188,36,101,28,252,23,66,15,10,1,0,0,1,0,1,528174,4239378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2318693,818686,165676,110712,3120,8453,719,2868,419,2768,364,953,197,7762,0
40~45,347399,2005,3433,646,11774,14082,502,108,1065,79,212,30,136,22,792,33,71,6,45,7,48,10,14,10,789,2145,17069,51,65,36,120,63,49,6,20,8,156,19,19,2,8,4,24,8,10,2,2728,35075,5627,95661,22585,56317,7403,235549,321561,9400,64594,64346,11059,24349,498
60~70,207722,1224,1175,415,9489,79483,208375,65366,14392,20041,16038,47732,10761,5330,7661,4287,15378,730,363,166,197,14,47,21,1800,1281,10126,33,42,14,68,25,23,8,23,5,288,9,16,6,13,6,15,7,13,2,1340,7487,1013,81198,4127,47683,6512,25893,5984,61200,7714,41181,3389,109593,1453
30~35,563173,3525,13320,4299,45572,193,383,106,467,44,113,21,85,18,787,80,142,38,107,33,106,23,33,11,1271,9845,84781,62,48,25,155,62,39,9,22,7,180,13,31,3,34,6,25,1,7,0,20127,71610,49313,77747,495792,238572,103424,92111,32994,32630,4593,805,103,6362,84
50~60,792658,4575,4880,1568,6029,55073,45984,34831,40797,14276,11020,8915,6207,58,3653,113,278,34,137,30,173,19,38,12,1589,1364,8226,37,28,5,89,25,41,5,19,9,239,25,41,11,38,20,39,21,22,17,977,8516,1417,74424,8752,24653,2908,37556,16206,35772,74446,205886,147057,124048,1257
45~50,214500,1201,1797,384,5984,3983,20153,16302,1007,101,322,53,188,42,1420,40,124,15,53,10,65,13,16,16,593,1489,8209,19,24,4,46,32,36,17,43,20,182,15,27,5,13,5,17,1,11,3,1163,14052,7631,61242,3586,33483,21699,21399,20592,322639,183830,5715,64402,67775,631
10~15,8117049,80002,2187549,1710062,6680075,37,91,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911810,1599756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362444,53129,4097,57157,2178,5054,485,2645,342,1310,123,359,36,1171,0
25~30,806157,5391,38493,16333,129068,150,377,163,340,86,239,93,237,93,1017,118,161,21,235,23,111,32,43,11,1222,64492,162693,49,66,24,132,39,30,9,26,7,59,6,19,9,2,0,0,0,0,0,87849,161135,618146,788803,190517,196139,60114,42799,547,3357,255,886,130,6498,0
>70,142721,1351,950,165,1409,2451,4954,2471,569006,20501,130970,11655,12655,24735,150099,13273,41545,13798,13396,14125,39236,8933,14474,5942,16125,231,1336,5368,4221,4005,4099,3184,3003,2284,2086,2157,4344,1697,1512,1417,1211,1125,1198,904,852,717,227,1170,314,13352,620,2402,415,10079,1190,10167,871,3882,5755,54615,19351
5~10,15551603,317341,5019490,9147443,5786866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380656,76968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472,9711,1067,5127,318,474,102,57,0,1,0,1,1,0,0
20~25,1643401,11311,128557,58483,421422,323,756,477,816,211,259,40,145,33,826,61,98,19,105,17,65,8,26,7,257,143310,388657,8,26,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,941924,1652017,803421,383673,108305,34127,817,3997,459,3148,208,749,111,7452,0
35~40,465560,2657,6407,1460,22081,191,442,118,735,72,127,25,105,22,737,35,62,5,31,22,85,43,63,28,1062,3673,35353,46,51,17,121,61,38,9,12,6,170,14,26,10,14,4,19,9,16,4,16950,43894,8697,129711,20106,162066,336091,131178,63173,62730,20336,18882,7903,5543,372
