pulocationid,prediction
1,5
5,5
176,5
204,5
251,4
101,4
115,4
210,4
27,4
253,4
222,4
122,4
157,4
259,4
205,4
139,4
191,4
64,4
15,4
197,4
55,4
8,4
130,4
51,4
194,4
38,4
245,4
70,4
214,4
203,4
221,4
56,4
150,4
201,4
2,4
118,4
124,4
99,4
184,4
46,4
252,4
138,4
180,4
134,4
208,4
148,3
243,3
137,3
65,3
255,3
133,3
211,3
193,3
34,3
159,3
236,3
12,3
209,3
230,3
233,3
232,3
190,3
225,3
246,3
224,3
111,3
140,3
152,3
146,3
52,3
13,3
168,3
142,3
178,3
164,3
40,3
54,3
48,3
163,3
41,3
43,3
262,3
112,3
179,3
189,3
207,3
37,3
127,3
61,3
88,3
107,3
202,3
231,3
17,3
217,3
229,3
114,3
173,3
4,3
100,3
161,3
49,3
162,3
7,3
238,3
244,3
247,3
87,3
166,3
129,3
69,3
97,3
239,3
234,3
50,3
45,3
261,3
249,3
82,3
181,3
167,3
80,3
25,3
237,3
113,3
24,3
125,3
62,3
143,3
226,3
256,3
90,3
75,3
141,3
151,3
145,3
170,3
105,3
188,3
33,3
83,3
110,3
68,3
260,3
106,3
116,3
158,3
199,3
42,3
119,3
79,3
66,3
186,3
144,3
74,3
104,3
36,3
44,2
93,2
132,2
206,2
86,2
117,2
154,2
23,2
84,2
10,2
216,2
156,2
219,2
109,2
215,2
172,2
187,2
28,1
31,0
85,0
53,0
78,0
108,0
155,0
126,0
81,0
183,0
76,0
26,0
192,0
223,0
91,0
22,0
128,0
47,0
177,0
185,0
212,0
182,0
218,0
16,0
6,0
3,0
20,0
169,0
94,0
250,0
57,0
120,0
235,0
96,0
258,0
19,0
92,0
257,0
227,0
165,0
9,0
72,0
175,0
35,0
196,0
220,0
59,0
241,0
39,0
136,0
171,0
63,0
102,0
77,0
240,0
73,0
160,0
121,0
95,0
29,0
21,0
195,0
98,0
60,0
32,0
200,0
254,0
213,0
228,0
58,0
11,0
71,0
147,0
198,0
14,0
123,0
242,0
135,0
248,0
131,0
149,0
30,0
67,0
174,0
153,0
18,0
89,0
