ratio,sum(count)
0.01~0.02,50959
0.02~0.03,44454
0.03~0.04,94216
0.04~0.05,327238
0.05~0.06,377859
0.06~0.07,672387
0.07~0.08,887879
0.08~0.09,1322194
0.09~0.1,2506766
0.0~0.01,113830
0.11~0.12,1286369
0.12~0.13,2047769
0.13~0.14,3972547
0.14~0.15,1179386
0.15~0.16,1295138
0.16~0.17,35967699
0.17~0.18,493411
0.18~0.19,343408
0.19~0.2,3431029
0.1~0.11,1727867
0.21~0.22,159028
0.22~0.23,1341228
0.23~0.24,2234294
0.24~0.25,143147
0.25~0.26,118726
0.26~0.27,46747
0.27~0.28,97126
0.28~0.29,39032
0.29~0.3,61271
0.2~0.21,4355837
0.31~0.32,33281
0.32~0.33,39477
0.33~0.34,22962
0.34~0.35,30136
0.35~0.36,9903
0.36~0.37,21170
0.37~0.38,16454
0.38~0.39,13840
0.39~0.4,10004
0.3~0.31,41827
0.41~0.42,6864
0.42~0.43,8268
0.43~0.44,4729
0.44~0.45,8198
0.45~0.46,4153
0.46~0.47,7694
0.47~0.48,2420
0.48~0.49,7329
0.49~0.5,4464
0.4~0.41,11667
=0.0,34029311
>0.5,44029
