ratio,sum(count),log(sum(count))
0,34029311,17.34453115
0.0~0.01,113830,11.64366865
0.01~0.02,50959,10.83990059
0.02~0.03,44454,10.70331999
0.03~0.04,94216,11.45453295
0.04~0.05,327238,12.69975978
0.05~0.06,377859,12.84360807
0.06~0.07,672387,13.41998079
0.07~0.08,887879,13.69801102
0.08~0.09,1322194,14.0962646
0.09~0.1,2506766,14.73603193
0.1~0.11,1727867,14.36388757
0.11~0.12,1286369,14.06879279
0.12~0.13,2047769,14.53376839
0.13~0.14,3972547,15.19649365
0.14~0.15,1179386,13.98195423
0.15~0.16,1295138,14.07558723
0.16~0.17,35967699,17.39993594
0.17~0.18,493411,13.11045713
0.18~0.19,343408,12.74799629
0.19~0.2,3431029,15.04993122
0.2~0.21,4355837,15.28861253
0.21~0.22,159028,11.9780775
0.22~0.23,1341228,14.11055921
0.23~0.24,2234294,14.62095182
0.24~0.25,143147,11.87285838
0.25~0.26,118726,11.68578523
0.26~0.27,46747,10.75362034
0.27~0.28,97126,11.48495519
0.28~0.29,39032,10.57323338
0.29~0.3,61271,11.02420496
0.3~0.31,41827,10.64240079
0.31~0.32,33281,10.41382169
0.32~0.33,39477,10.58457096
0.33~0.34,22962,10.04263722
0.34~0.35,30136,10.31454521
0.35~0.36,9903,9.201547076
0.36~0.37,21170,9.961373202
0.37~0.38,16454,9.709330593
0.38~0.39,13840,9.536306994
0.39~0.4,10004,9.2116954
0.4~0.5,65786,11.09531274
0.5 above,44029,10.69371256
